cadence,year,slice,sym,trailing_perf,best_ti,fast,slow,captured_return,perfect_return,capture_rate
30m,2025,W3,LDOUSDT,0.0421,"EMA(20,50)",20,50,0.0654,0.2148,0.3045
30m,2025,W3,DOGEUSDT,0.0398,"EMA(10,100)",10,100,0.0061,0.0997,0.061
30m,2025,W3,WLDUSDT,0.039,"SMA(5,20)",5,20,0.152,0.1678,0.9059
30m,2025,W3,NEARUSDT,0.0337,"SMA(5,20)",5,20,0.0511,0.1007,0.5073
30m,2025,W3,RENDERUSDT,0.031,"SMA(10,20)",10,20,0.0943,0.1174,0.803
30m,2025,W3,TIAUSDT,0.0309,"SMA(10,20)",10,20,0.0664,0.1089,0.6098
30m,2025,W3,ETHUSDT,0.0297,"SMA(5,20)",5,20,0.0233,0.0559,0.4174
30m,2025,W3,XLMUSDT,0.0276,"EMA(10,20)",10,20,-0.0029,0.0481,0.0
30m,2025,W3,TAOUSDT,0.016,"SMA(5,20)",5,20,0.0735,0.0981,0.7492
30m,2025,W3,BCHUSDT,0.0148,"SMA(10,20)",10,20,0.0418,0.0715,0.584
30m,2025,W3,SUIUSDT,0.0141,"SMA(5,20)",5,20,0.0555,0.0913,0.6079
30m,2025,W4,TAOUSDT,0.0657,"SMA(5,100)",5,100,0.0327,0.2396,0.1366
30m,2025,W4,DUSDT,0.0379,"SMA(20,100)",20,100,-0.1656,0.2071,0.0
30m,2025,W4,XRPUSDT,-0.0377,"SMA(20,50)",20,50,0.0152,0.1436,0.1058
30m,2025,W4,BNBUSDT,-0.0422,"SMA(20,100)",20,100,-0.0243,0.0363,0.0
30m,2025,W4,BTCUSDT,-0.0423,"SMA(20,100)",20,100,-0.0133,0.0369,0.0
30m,2025,W4,BCHUSDT,-0.0861,"SMA(20,100)",20,100,-0.0441,0.0336,0.0
30m,2025,W4,ADAUSDT,-0.0884,"SMA(20,100)",20,100,-0.0404,0.0674,0.0
30m,2025,W4,XLMUSDT,-0.1111,"SMA(20,100)",20,100,-0.0408,0.0765,0.0
30m,2025,W4,ICPUSDT,-0.1316,"SMA(20,100)",20,100,-0.0482,0.0602,0.0
30m,2026,W1,RENDERUSDT,0.7372,"EMA(20,100)",20,100,0.703,0.7494,0.9381
30m,2026,W1,POLUSDT,0.2708,"EMA(10,100)",10,100,0.2498,0.2979,0.8385
30m,2026,W1,ATOMUSDT,0.2699,"EMA(5,100)",5,100,0.2354,0.2778,0.8473
